name,tel,address
3066,龍潭二門市,桃園市龍潭區中正路302號1~2樓
3021,龍潭中正門市,桃園市龍潭區中正路72號
3056,楊梅大成門市,桃園市楊梅區大成路89號1~2樓
3038,楊梅中山門市,桃園市楊梅區中山路80號1F
3020,埔心永美門市,桃園市楊梅區永美路199號
3046,新屋門市,桃園市新屋區中山路262至264號
3047,大有門市,桃園市大有路５５９號１、２樓
3070,桃園中山門市,桃園市中山路713號一樓
3069,數位家電體驗館-藝文館門市,桃園市中正路1206號
3081,數位家電體驗館-中正館門市,桃園市中正路717號
3071,中壢中正門市,桃園市中壢區中正路236、238號
3029,桃園桃鶯門市,桃園市桃鶯路138號1F
3024,桃園復興門市,桃園市復興路190號
3010,桃園經國門市,桃園市經國路23.25.27.29號
3072,龜山文化門市,桃園市龜山區文化二路30之12、13號
3051,龜山門市,桃園市龜山區萬壽路２段１０９１．1093號１?２樓
3049,介壽門市,桃園市八德區介壽路２段３３３?339號
3091,大湳二門市,桃園市八德區介壽路一段739號1-2樓
3089,桃園大溪二門市,桃園市大溪區康莊路263號1-2樓
3086,桃園大園二門市,桃園市大園區中正東路97-2號
3087,數位家電體驗館-南崁館門市,桃園市蘆竹區中正路350號
3076,南崁三門市,桃園市蘆竹區中正路85、87、89號
3005,蘆竹南崁門市,桃園市蘆竹區南崁路364號
3090,竹南博愛門市,苗栗縣竹南鎮博愛街133號
3057,頭份二門市,苗栗縣頭份市中正路122號
3009,頭份中華門市,苗栗縣頭份市中華路1181號
3050,後龍門市,苗栗縣後龍鎮中山路113~117號
3067,通霄門市,苗栗縣通霄鎮中山路77號一樓
3032,苗栗苑裡門市,苗栗縣苑裡鎮中山路115號
3037,苗栗中正二門市,苗栗縣苗栗市中正路1050號
3027,苗栗中華門市,苗栗縣苗栗市中華路201號
3062,府前門市,苗栗縣苗栗市府前路92號
3077,建功門市,苗栗縣苗栗市建功街20-2號
3078,公館門市,苗栗縣公館鄉玉泉村14鄰玉泉368-7號
4084,文心門市,台中市北屯區文心路四段581號
4073,復興門市,台中市南區復興路一段415之2-4號
4065,中山門市,台中市東區十甲里精武東路210號
4085,大墩門市,台中市南屯區大墩路486號
4015,國光門市,台中市南區國光路170號
4093,向上門市,台中市西區向上路一段297號
4082,大雅門市,"台中市北區中清路1段550,552號"
4045,水湳門市,台中市北屯區中清路2段420號
4018,北屯門市,台中市北屯區北屯路178-5、178-6號
4095,東山門市,台中市北屯區東山路一段236-6號
4097,昌平門市,台中市北屯區松竹里昌平路二段11-33、11-34號
4096,斗南門市,雲林縣斗南鎮中山路61、63號
4014,文心(一)門市,台中市西屯區文心路三段70、72號
4075,西屯門市,台中市西屯區西屯路二段16之2-3號
4083,中科門市,台中市西屯區西屯路三段150之43號
4080,逢甲門市,台中市西屯區河南路二段317號
4087,南屯門市,台中市南屯區南屯路二段328號
4122,Digital City-公益店,台中市南屯區公益路2段117號
4002,黎明門市,台中市南屯區黎明路二段462號
4118,數位家電體驗館-嶺東館門市,台中市南屯區嶺東路720號
4076,太平(三)門市,台中市太平區中山路四段163、165號
4034,太平(一)門市,台中市太平區中興路174、176號
4115,數位家電體驗館-育賢館門市,台中市太平區育賢路163、165、167、169號
4036,大里(二)門市,台中市大里區仁化路762號
4089,大里中興二門市,台中市大里區中興路一段267號
4081,中興門市,台中市大里區中興路二段446-3號
4028,大里(一)門市,台中市大里區國光路二段704號
4041,霧峰門市,台中市霧峰區中正路1193號
4077,烏日門市,台中市烏日區中山路一段376、378號
4092,豐原三民門市,台中市豐原區三民路192號
4069,豐原(二)門市,台中市豐原區中正路470號
4007,環東門市,台中市豐原區圓環東路686號
4043,后里門市,台中市后里區甲后路一段432號
4027,東勢門市,台中市東勢區豐勢路492號
4067,潭子門市,台中市潭子區中山路二段131、133號
4090,雅環門市,台中市大雅區上雅里雅環路2段46號
4072,中清門市,台中市大雅區中清路3段1213號
4105,大肚門市,台中市大肚區沙田路2段555號
4111,數位家電體驗館-沙鹿館門市,台中市沙鹿區中山路382號
4037,沙鹿門市,台中市沙鹿區美仁里中正街51號
4106,梧棲門市,台中市梧棲區大智路2段273號
4117,清水門市,台中市清水區中山路29-2號
4100,大甲門市,台中市大甲區文武路10-9號
4120,彰化中正門市,彰化縣彰化市中正路2段780-1號
4024,彰化(二)門市,彰化縣彰化市中正路一段242號
4101,金馬門市,彰化縣彰化市金馬路二段707號
4119,秀水門市,彰化縣秀水鄉彰水路2段632號
4079,鹿港門市,彰化縣鹿港鎮民族路83號
4107,鹿港(二)門市,彰化縣福興鄉橋頭村中正路139號
4110,和美門市,彰化縣和美鎮道周路171號
4078,員林中正門市,彰化縣員林市中正路131號
4102,莒光門市,彰化縣員林市莒光路318、320號
4098,社頭門市,彰化縣社頭鄉員集路2段322號
4046,溪湖門市,彰化縣溪湖鎮彰水路三段127號
4021,田中門市,彰化縣田中鎮中州路一段194號
4048,北斗門市,彰化縣北斗鎮西安里中華路300、300-1號
4047,二林門市,彰化縣二林鎮建興街96號
4066,南投(二)門市,南投縣南投市三和三路31號
4121,南投民族門市,南投縣南投市民族路6號
4103,草屯中興門市,南投縣草屯鎮中興路269號
4006,成功門市,南投縣草屯鎮碧山南路41號
4059,埔里門市,南投縣埔里鎮中正路562號
4109,水里門市,南投縣水里鄉中山路一段279號
4113,竹山門市,南投縣竹山鎮集山路3段862號
4068,虎尾(二)門市,雲林縣虎尾鎮中正路237、239號
4062,虎尾門市,雲林縣虎尾鎮光復路346號
4112,麥寮門市,雲林縣麥寮鄉光復南路317號
4108,數位家電體驗館-斗六館門市,雲林縣斗六市文化路37號
4091,斗六民生南門市,雲林縣斗六市民生南路203號
4116,斗六漢口門市,雲林縣斗六市漢口路2號
4123,西螺門市,"雲林縣西螺鎮平和路126,128號"
4099,北港門市,雲林縣北港鎮華勝路140號
7150,友愛門市,嘉義市西區友愛路270、272號
7107,吳鳳門市,嘉義市吳鳳北路105號
7134,林森門市,嘉義市東區社口里林森西路101號
7162,嘉義忠孝門市,嘉義市東區忠孝路442號
7157,數位家電體驗館-嘉義館門市,嘉義市興業西路228、230號
7143,興業二門市,嘉義市興業西路317號
7142,西門門市,"台南市北區西門路四段21,23,25號1樓"
7161,朴子門市,嘉義縣朴子市海通路41之26、27號
7153,民雄門市,嘉義縣民雄鄉文化路69號
7155,大林門市,嘉義縣大林鎮中正路381號
7146,東寧門市,台南市東區東寧路425號
7137,崇德門市,台南市東區崇德路623號1樓
7110,崇學門市,台南市東區崇學路166、168號
7158,數位家電體驗館-永華館門市,台南市永華路一段315號
7140,金華二門市,台南市南區金華路一段189號
7108,金華門市,台南市南區金華路二段181號
7156,華平門市,台南市安平區慶平路411號
7145,安和門市,台南市安南區安和路五段136.138號
7144,海佃二門市,台南市安南區海佃路一段72號
7129,大灣門市,台南市永康區大灣路685號
7118,永康門市,台南市永康區中山南路365號之1
7138,中華二門市,台南市永康區中華路387號
7147,中華三門市,台南市永康區中華路96號
7131,歸仁門市,台南市歸仁區中山路三段21及23號
7122,新化門市,台南市新化區清水里中山路389號
7154,關廟門市,台南市關廟區中山路一段393號
7159,麻豆博愛門市,台南市麻豆區博愛路16-3號
7112,佳里門市,台南市佳里區光復路152號
7160,數位家電體驗館-新營館門市,台南市新營區民治路190號
7116,民治門市,台南市新營區民治路70-1號
7123,善化門市,台南市善化區中山路228號
7152,新市門市,台南市新市區仁愛街74號
7013,青年門市,高雄市新興區青年一路384號
7038,光華門市,高雄市苓雅區三多二路258號
7049,成功門市,高雄市苓雅區成功一路183、185號
7019,建國門市,高雄市苓雅區建國一路167號
7001,五福門市,高雄市鹽埕區五福四路106、108號
7055,華榮門市,高雄市鼓山區華榮路366號
7021,瑞隆門市,高雄市前鎮區瑞隆路316號
7066,大昌門市,高雄市三民區大昌二路148號
7036,天祥門市,高雄市三民區天祥一路90號
7078,Digital City-民族店,高雄市三民區明誠一路836、838號
7079,建工二門市,高雄市三民區建工路509號
7040,陽明門市,高雄市三民區陽明路182號
7052,熱河門市,高雄市三民區熱河二街62號
7062,覺民門市,高雄市三民區覺民路561號
7058,自由門市,高雄市左營區自由二路152號
7030,後昌門市,高雄市楠梓區後昌路848號
7026,楠梓門市,高雄市楠梓區楠梓新路228號
7077,德民門市,高雄市楠梓區德民路939號
7069,德賢門市,高雄市楠梓區德賢路143之10號
7056,小港門市,高雄市小港區漢民路291-1號
7054,左營門市,高雄市左營區左營大路55-2號
7072,福山門市,高雄市左營區自由四路200號
7067,華夏門市,高雄市左營區華夏路686號
7073,仁武門市,高雄市仁武區仁忠路147號
7050,大社門市,高雄市大社區中山路２２５號
7059,岡山門市,高雄市岡山區民有路50號
7070,路竹門市,高雄市路竹區忠孝路55號
7018,黃埔門市,高雄市鳳山區中山東路151號
7048,鳳山二門市,高雄市鳳山區五甲一路131號
7046,五甲三門市,高雄市鳳山區五甲二路641、643號
7071,鳳山文化門市,高雄市鳳山區青年路二段142-15號
7032,鳳松門市,高雄市鳳山區鳳松路73號
7057,鳳林門市,高雄市大寮區鳳林四路14-1號
7028,林園門市,高雄市林園區林園北路75號
